İl Adı,Gümrük Adı,Millet,HAK-PAR,TKP,TKH,Sol Parti,Genç Parti,Memleket,BBP,Ak Parti,Yeniden Refah,MHP,Yeşil Sol Parti,TİP,AB,ANAP,YP,HKP,Milli Yol,Vatan Partisi,GBP,CHP,İyi Parti,AP,Zafer Partisi,Sosyalist Güç Birliği İttifakı,Cumhur İttifakı,Emek ve Özgürlük İttifakı,Millet İttifakı,Ata İttifakı
İzmir,Adnan Menderes Havalimanı Gümrük Kapısı,16,5,22,5,25,18,107,51,4093,91,1043,736,549,64,21,1,15,0,23,9,5129,920,35,130,0,28,0,23,1
Şanlıurfa,Akçakale Karayolu Gümrük Kapısı,11,1,3,2,3,30,402,69,3094,244,1160,30,14,2,2,0,0,0,2,0,632,204,10,407,1,10,0,3,0
Ardahan,Aktaş Karayolu Gümrük Kapısı,0,0,0,0,0,0,0,1,1,0,1,4,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0
Antalya,Antalya Havalimanı Gümrük Kapısı,17,6,15,4,18,25,142,65,5163,130,1533,580,384,26,22,2,23,9,16,6,3217,630,42,134,0,31,2,15,1
Balıkesir,Ayvalık Limanı Gümrük Kapısı,2,2,1,1,1,1,3,6,262,5,53,70,39,0,0,0,2,0,2,3,693,88,4,6,0,4,0,10,0
Muğla,Bodrum Limanı Gümrük Kapısı,0,0,0,0,0,1,0,0,16,1,4,14,22,0,0,0,0,0,2,0,229,19,0,2,0,0,1,1,0
Muğla,Bodrum-Milas Havalimanı Gümrük Kapısı,0,0,1,0,2,3,8,1,150,1,43,57,61,0,0,0,0,0,1,1,454,58,0,1,0,0,0,2,0
Hatay,Clivegözü Gümrük Kapısı,15,1,3,1,1,38,505,83,3183,284,1441,49,60,8,8,0,0,3,5,3,817,250,13,546,0,18,0,1,1
Denizli,Çardak Havalimanı Gümrük Kapısı,0,1,1,0,1,3,4,5,434,10,90,3,15,3,2,0,1,0,0,1,162,42,1,13,0,4,1,2,0
İzmir,Çeşme Deniz Limanı Gümrük Kapısı,0,0,2,0,0,2,6,0,30,1,9,17,25,0,0,0,1,0,0,1,198,22,5,4,0,0,0,1,0
Kilis,Çobanbey Karayolu Gümrük Kapısı,4,0,6,0,0,13,286,23,1277,121,596,14,13,3,2,0,0,2,2,0,376,133,5,205,0,8,0,2,0
