İl Adı,Millet,HAK-PAR,TKP,TKH,Sol Parti,Genç Parti,Memleket,BBP,Ak Parti,Yeniden Refah,MHP,Yeşil Sol Parti,TİP,AB,ANAP,YP,HKP,Milli Yol,Vatan Partisi,GBP,CHP,İyi Parti,AP,Zafer Partisi,Sosyalist Güç Birliği İttifakı,Cumhur İttifakı,Emek ve Özgürlük İttifakı,Millet İttifakı,Ata İttifakı,Bağımsız
Adana,1411,873,1362,353,2290,4092,10733,12594,412978,24556,149861,133770,31347,1406,0,0,866,0,1804,0,392822,149935,0,29480,45,8594,310,5823,8,1018
Adıyaman,515,387,428,114,900,334,1401,3119,164067,15169,12754,38042,0,0,0,170,316,0,304,257,58397,0,0,1955,21,1483,0,0,0,14806
Afyonkarahisar,831,426,330,118,118,0,3716,5145,205859,14013,75657,1507,1020,0,0,134,364,0,410,322,86842,59015,0,10604,32,3230,16,1538,1,0
Ağrı,125,285,281,137,1342,188,1557,605,51895,4186,4805,118684,0,0,0,356,199,0,242,0,22638,3466,463,0,20,588,2,133,3,57
Aksaray,377,220,164,54,256,319,1727,5304,108422,6465,52466,1477,628,394,0,108,197,158,271,0,0,63281,0,3379,29,2199,13,2,0,3007
Amasya,159,247,135,62,136,224,1289,1914,90021,4133,38680,780,845,0,424,51,156,0,152,151,68337,16590,742,3486,8,1550,6,647,31,0
Ankara-1,1124,459,3561,552,1425,2023,12973,11737,327354,26453,109393,53827,0,1111,1810,0,494,623,1292,778,569969,179283,2525,41141,73,5382,37,5201,167,562
Ankara-2,1167,439,848,204,709,2086,10806,16194,473400,40204,136526,25120,13071,1109,1936,136,337,656,636,548,234208,133811,2820,40189,52,7680,83,3726,170,189
Ankara-3,1331,420,1242,283,811,2516,14228,21035,419133,36563,142189,32799,32647,1062,1779,196,389,635,979,678,369501,186564,3174,49077,37,6747,109,4616,202,229
Antalya,2015,1071,2555,605,1832,5627,22265,10993,468369,20738,163915,78461,76491,1591,2318,336,919,809,1678,1615,536008,190186,4960,47322,60,8213,239,7895,256,1942
Ardahan,46,78,94,58,382,49,243,186,18528,532,1594,11723,0,132,185,45,94,35,55,83,15967,2619,192,570,2,152,24,199,6,25
Artvin,113,148,403,79,457,161,1320,438,41712,2701,10857,981,1716,0,447,28,151,0,96,98,33932,15069,438,1344,9,542,1,576,7,249
Aydın,759,701,1228,343,1135,2488,8870,6546,213838,5570,64983,55478,0,0,1631,288,539,0,1469,0,272769,100533,2051,17282,30,3254,24,4937,92,1401
Balıkesir,1017,1106,862,265,691,2446,10794,6069,299651,18373,70651,17642,10672,963,0,289,649,0,1644,0,276241,130339,3242,18326,20,4077,51,5396,113,87
Bartın,253,272,277,111,117,448,1184,595,47457,2324,30933,419,0,439,509,106,231,0,229,175,41680,0,677,1911,6,1307,0,1,25,0
Batman,150,533,224,81,1872,0,1110,995,92399,3448,3675,193025,0,0,0,405,144,0,124,247,25765,0,474,0,55,844,4,6,2,0
Bayburt,40,27,28,6,14,21,192,360,29241,1452,8122,207,96,55,105,10,28,15,17,27,0,7980,62,667,10,257,2,0,5,0
Bilecik,196,96,112,34,102,557,1858,1291,55030,4911,15251,3954,1242,176,385,36,89,0,169,88,39782,18467,516,3382,7,700,9,631,24,771
Bingöl,125,199,129,62,659,109,525,783,55371,14562,19401,35315,0,236,195,39,120,0,94,114,7467,2818,337,0,25,1729,6,82,0,4215
Bitlis,180,315,284,110,1004,232,1046,561,63837,3635,6161,70825,0,467,300,122,156,0,142,192,0,22914,305,0,13,634,0,0,1,0
Bolu,207,197,181,56,144,549,2101,1594,76486,6851,49262,1717,1142,364,695,57,146,95,191,126,45575,15782,816,4063,20,1779,15,590,24,0
Burdur,234,240,173,59,106,349,1354,1243,64331,2157,24960,1105,0,440,354,57,161,0,249,166,55496,20640,783,2575,7,936,2,678,29,0
Bursa-1,1314,675,861,232,806,4280,15286,9001,385414,34293,85837,33529,14607,1047,1805,180,534,308,1635,0,294252,150123,3102,41943,30,5046,83,5159,277,716
Bursa-2,1275,651,1175,303,1035,2827,12956,6950,424630,41215,91991,56557,0,1485,1824,223,634,0,1116,0,213564,103378,2992,36083,37,5964,2,3974,125,346
Çanakkale,403,439,558,151,248,1189,4111,1700,122834,3781,25103,7480,4820,624,883,88,324,124,457,439,137908,64766,1284,7860,11,1065,44,2146,56,0
Çankırı,149,178,79,33,119,162,571,1245,51358,3696,38322,367,297,0,275,95,83,77,147,0,0,22241,342,1895,1,1447,2,0,10,0
Çorum,440,488,286,89,139,462,1964,2747,140169,11675,71358,1419,1255,0,703,103,252,185,661,0,109713,0,1362,5398,17,3091,35,3,46,0
Denizli,1025,610,497,190,600,2814,9892,10235,236011,9563,58729,16716,7148,0,0,270,479,0,1044,625,225622,101081,0,18494,50,3226,75,3781,8,267
Diyarbakır,503,1792,993,343,5120,875,3835,1939,199476,13904,10207,561265,0,0,0,1150,617,363,595,724,68478,19864,0,0,147,2107,7,688,0,1604
