Ülke Adı,Millet,HAK-PAR,TKP,TKH,Sol Parti,Genç Parti,Memleket,BBP,Ak Parti,Yeniden Refah,MHP,Yeşil Sol Parti,TİP,AB,ANAP,YP,HKP,Milli Yol,Vatan Partisi,GBP,CHP,İyi Parti,AP,Zafer Partisi,Sosyalist Güç Birliği,Cumhur İttifakı,Emek ve Özgürlük İttifakı,Millet İttifakı,Ata İttifakı
Almanya Federal Cumhuriyeti,394,479,560,164,1067,526,3592,3188,365445,8044,91373,62988,13659,1169,707,56,303,99,449,272,138996,20136,1430,4375,12,2785,85,864,23
Amerika Birleşik Devletleri,43,21,64,15,35,80,618,85,6770,253,1131,3031,3448,14,31,4,21,7,37,24,31018,3809,61,661,2,32,8,197,2
Arnavutluk Cumhuriyeti,0,0,1,0,1,1,9,1,161,10,30,29,39,0,0,0,1,0,0,0,234,92,2,10,0,0,0,3,0
Avustralya,26,16,30,8,31,11,174,54,7006,147,612,1441,907,15,11,2,15,3,31,12,7088,724,50,203,0,50,4,55,0
Avusturya Cumhuriyeti,26,43,38,19,70,54,317,260,33702,994,8633,4562,1250,93,78,6,41,10,43,22,8841,1505,150,481,3,262,5,44,2
Azerbaycan Cumhuriyeti,3,3,6,2,5,17,125,31,2311,148,743,647,179,4,5,0,2,0,6,1,1577,514,15,211,0,21,1,7,0
Bahreyn Krallığı,0,1,3,1,1,3,1,1,177,7,13,15,138,1,1,1,0,1,2,0,442,61,0,14,0,0,0,3,0
Belarus Cumhuriyeti,1,0,0,0,2,1,7,0,43,2,11,18,14,0,0,0,2,0,2,0,115,26,0,11,0,0,0,0,0
Belçika Krallığı,53,51,45,15,68,93,597,285,46923,1284,12028,5071,1329,86,51,6,42,15,66,34,12406,2355,164,966,0,515,8,78,3
Birleşik Arap Emirlikleri,15,4,11,8,4,14,65,30,1916,45,91,169,450,11,4,1,1,1,9,3,3918,456,14,87,0,7,3,15,3
Bosna Hersek,3,0,0,3,1,5,34,9,480,43,133,37,50,0,1,0,0,0,0,0,419,169,4,68,0,0,0,0,0
