İl Adı,Gümrük Adı,Recep Tayyip Erdoğan,Kemal Kılıçdaroğlu
İzmir,Adnan Menderes Havalimanı Gümrük Kapısı,5130,7665
Şanlıurfa,Akçakale Karayolu Gümrük Kapısı,4524,1135
Ardahan,Aktaş Karayolu Gümrük Kapısı,13,6
Antalya,Antalya Havalimanı Gümrük Kapısı,6124,4441
Balıkesir,Ayvalık Limanı Gümrük Kapısı,829,1839
Muğla,Bodrum Limanı Gümrük Kapısı,60,537
Muğla,Bodrum-Milas Havalimanı Gümrük Kapısı,350,929
Hatay,Clivegözü Gümrük Kapısı,5447,1678
Denizli,Çardak Havalimanı Gümrük Kapısı,1204,389
İzmir,Çeşme Deniz Limanı Gümrük Kapısı,94,457
Kilis,Çobanbey Karayolu Gümrük Kapısı,1864,635
Muğla,Dalaman Havalimanı Gümrük Kapısı,622,1086
Kırklareli,Dereköy Karayolu Gümrük Kapısı,86,129
Kocaeli,Derince Limanı Gümrük Kapısı,847,201
Diyarbakır,Diyarbakır Havalimanı Gümrük Kapısı,201,337
Ağrı,Doğubeyazıt Gürbulak Gümrük Kapısı,36,20
Elazığ,Elazığ Havalimanı Gümrük Kapısı,659,1088
Kayseri,Erkilet Havalimanı Gümrük Kapısı,6471,1180
Ankara,Esenboğa Havalimanı Gümrük Kapısı,5257,3975
Gaziantep,Gaziantep Havalimanı Gümrük Kapısı,1348,1629
Şırnak,Habur Karayolu Gümrük Kapısı,882,323
Edirne,Hamzebeyli Karayolu Gümrük Kapısı,118,138
Eskişehir,Hasan Polatkan Gümrük Kapısı,1791,548
Edirne,İpsala Karayolu Gümrük Kapısı,339,490
İstanbul,İstanbul Havalimanı Gümrük Kapısı,7660,8839
Van,Kapıköy Karayolu Gümrük Kapısı,12,5
Edirne,Kapıkule Karayolu Gümrük Kapısı,2190,1720
Gaziantep,Karkamış Karayolu Gümrük Kapısı,95,32
Kilis,Kilis Öncüpınar Gümrük Kapısı,1443,374
Konya,Konya Havalimanı Gümrük Kapısı,2937,453
Hatay,Kumlu Karayolu Gümrük Kapısı,644,178
Aydın,Kuşadası Limanı Gümrük Kapısı,630,1994
Mersin,Mersin Liman Gümrük Kapısı,241,563
Edirne,Pazarkule Karayolu Geçici Gümrük Kapısı,2190,1720
İstanbul,Sabiha Gökçen Havalimanı Gümrük Kapısı,12409,11520
Samsun,Samsun Çarşamba Havalimanı Gümrük Kapısı,2430,702
Samsun,Samsun Limanı Gümrük Kapısı,584,253
Artvin,Sarp Karayolu Gümrük Kapısı,217,154
Isparta,Süleyman Demirel Havalimanı Gümrük Kapısı,443,164
Adana,Şakirpaşa Havalimanı Gümrük Kapısı,1373,2176
Mersin,Taşucu Limanı Gümrük Kapısı,252,295
Trabzon,Trabzon Havalimanı Gümrük Kapısı,2369,482
Ardahan,Türkgözü Karayolu Gümrük Kapısı,29,11
Hakkari,Üzümlü Karayolu Gümrük Kapısı,1519,405
Hakkari,Yüksekova Esendere Gümrük Kapısı,325,114
Zonguldak,Zonguldak Çaycuma Havalimanı Gümrük Kapısı,2468,443
